
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C7                                 8   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C8                                 7   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C8                                 7   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C9                                13   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C9                                13   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C10                               12   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C10                               12   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C11                                5   1      1   1   1 1           1 0 VCC                 (2992-14-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C11                                5   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C39                                6   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0057                          C39                                6   1      2   1   1 2           2 0 VCC                 (2992-14-13)
10-0068                          C12                               79   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0068                          C12                               79   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0068                          C14                               78   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0068                          C14                               78   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0068                          C40                               77   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0068                          C40                               77   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0075                          C15                               82   1      1   1   1 1           1 0 XSIG030222          (2992-77-13)
10-0075                          C15                               82   1      2   1   1 2           2 0 XSIG030216          (2992-73-13)
10-0075                          C19                               83   1      1   1   1 1           1 0 XSIG030223          (2992-78-13)
10-0075                          C19                               83   1      2   1   1 2           2 0 XSIG030217          (2992-74-13)
10-0077                          C13                               16   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0077                          C13                               16   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0077                          C36                               14   1      1   1   1 1           1 0 XSIG030221          (2992-76-13)
10-0077                          C36                               14   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0077                          C37                               15   1      1   1   1 1           1 0 XSIG030220          (2992-75-13)
10-0077                          C37                               15   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0103                          C17                               53   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0103                          C17                               53   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0103                          C18                               52   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0103                          C18                               52   1      2   1   1 2           2 0 GND                 (2992-1-13)
