Ref Des	Quantity	Value	Part Label	Part Number	Description	Distributor code	Option	Place
C17	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 
C18	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 
C20	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 
C21	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 
C33	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 
C34	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 
C35	1	2.2uF	CAP C0603 2.2uF X5R 6.3V	10-0112	Capacitor Ceramic X5R / 2.2uF / 6.3V / ±20% / case 0603	Fa : 1288257	 	 
C32	1	2.2uF	CAP C0603 2.2uF X5R 6.3V	10-0112	Capacitor Ceramic X5R / 2.2uF / 6.3V / ±20% / case 0603	Fa : 1288257	 	 
D1	1	 	GREEN	20-0003	Green LED SMD case 0805 Agilent HSMG-C670	Fa : 5790852	 	 
D2	1	 	RED	20-0004	Red LED SMD case 0805 Agilent HSMH-C670	Fa : 5790840	 	 
Q8	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q9	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q10	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q11	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q12	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q13	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q14	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q15	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q16	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q17	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q18	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q19	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q20	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q21	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q22	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q1	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q2	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q3	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
Q4	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 
